Cities	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Boston	2.1	3.7	7.4	13.1	18.9	24.4	27.4	26.4	22.4	16.3	10.8	5.1
Chicago	0	2	8	15	21	27	29	28	24	17	9	2
Dallas	14	16.1	20.6	24.9	28.7	32.9	34.8	35.8	31.8	26.4	20.2	14.4
Detroit	-0.6	0	5.6	12.8	19.4	25	27.8	26.7	22.8	15.6	7.8	1.7
Las_Vegas	14.4	16.9	21.3	25.7	31.6	37.1	40.1	38.9	34.4	27	19.1	13.7
Los_Angeles	19.5	19.4	19.7	20.8	21.3	22.7	25.1	25.9	25.7	24.1	21.8	19.3
Miami	24.7	25.6	26.8	28.4	30.6	31.9	32.7	32.8	31.8	30.1	27.6	25.5
New_York	3.8	5.5	9.9	15.7	21.5	26.3	29.3	28.4	24.4	18.3	12.3	6.6
San_Diego	18.4	18.3	18.7	19.7	20.3	21.6	23.7	24.7	24.4	22.7	20.6	18.2
San_Francisco	13.8	15.7	16.6	17.3	17.9	19.1	19.2	20.1	21.2	20.7	17.3	13.9
Seattle	8.4	9.9	12.1	14.7	18.2	21.1	24.3	24.6	21.4	15.4	10.5	7.6
